code,area,year,number_of_jobs,job_density
E09000028,Southwark,2013,256000,1.17
E09000029,Sutton,2013,77000,0.61
E09000030,Tower Hamlets,2013,269000,1.33
E09000031,Waltham Forest,2013,81000,0.45
E09000032,Wandsworth,2013,134000,0.58
E09000033,Westminster,2013,717000,4.39
E12000001,North East,2013,1132000,0.68
E12000002,North West,2013,3464000,0.77
E12000003,Yorkshire and The Humber,2013,2523000,0.74
E12000004,East Midlands,2013,2186000,0.75
E12000005,West Midlands,2013,2700000,0.76
E12000006,East,2013,2888000,0.78
E12000007,London,2013,5341000,0.93
E12000008,South East,2013,4565000,0.83
E12000009,South West,2013,2745000,0.83
W92000004,Wales,2013,1395000,0.72
S92000003,Scotland,2013,2634000,0.76
N92000002,Northern Ireland,2013,834000,0.71
E92000001,England,2013,27545000,0.8
K04000001,England and Wales,2013,28940000,0.8
K03000001,Great Britain,2013,31574000,0.79
K02000001,United Kingdom,2013,32408000,0.79
E09000001,City of London,2014,498000,121.23
E09000002,Barking and Dagenham,2014,59000,0.47
E09000003,Barnet,2014,165000,0.68
E09000004,Bexley,2014,80000,0.53
E09000005,Brent,2014,131000,0.6
E09000006,Bromley,2014,127000,0.63
E09000007,Camden,2014,379000,2.25
E09000008,Croydon,2014,142000,0.58
E09000009,Ealing,2014,159000,0.69
E09000010,Enfield,2014,127000,0.61
E09000011,Greenwich,2014,95000,0.52
E09000012,Hackney,2014,131000,0.69
E09000013,Hammersmith and Fulham,2014,148000,1.12
E09000014,Haringey,2014,90000,0.48
E09000015,Harrow,2014,89000,0.56
E09000016,Havering,2014,90000,0.59
E09000017,Hillingdon,2014,220000,1.15
E09000018,Hounslow,2014,164000,0.91
E09000019,Islington,2014,231000,1.39
E09000020,Kensington and Chelsea,2014,141000,1.28
E09000021,Kingston upon Thames,2014,82000,0.73
E09000022,Lambeth,2014,180000,0.76
E09000023,Lewisham,2014,88000,0.43
E09000024,Merton,2014,97000,0.7
E09000025,Newham,2014,112000,0.48
E09000026,Redbridge,2014,89000,0.47
E09000027,Richmond upon Thames,2014,95000,0.76
E09000028,Southwark,2014,282000,1.27
E09000029,Sutton,2014,78000,0.61
E09000030,Tower Hamlets,2014,278000,1.32
E09000031,Waltham Forest,2014,84000,0.46
E09000032,Wandsworth,2014,134000,0.57
E09000033,Westminster,2014,737000,4.45
E12000001,North East,2014,1162000,0.7
E12000002,North West,2014,3523000,0.78
E12000003,Yorkshire and The Humber,2014,2585000,0.76
E12000004,East Midlands,2014,2232000,0.76
E12000005,West Midlands,2014,2742000,0.77
E12000006,East,2014,2979000,0.8
E12000007,London,2014,5603000,0.96
E12000008,South East,2014,4651000,0.84
E12000009,South West,2014,2849000,0.86
W92000004,Wales,2014,1396000,0.73
S92000003,Scotland,2014,2733000,0.79
N92000002,Northern Ireland,2014,848000,0.72
E92000001,England,2014,28327000,0.82
K04000001,England and Wales,2014,29723000,0.82
K03000001,Great Britain,2014,32456000,0.81
K02000001,United Kingdom,2014,33305000,0.81
E09000001,City of London,2015,541000,121.73
E09000002,Barking and Dagenham,2015,62000,0.48
E09000003,Barnet,2015,168000,0.68
E09000004,Bexley,2015,86000,0.57
E09000005,Brent,2015,136000,0.62
E09000006,Bromley,2015,124000,0.61
E09000007,Camden,2015,383000,2.21
E09000008,Croydon,2015,144000,0.58
E09000009,Ealing,2015,163000,0.71
E09000010,Enfield,2015,133000,0.63
E09000011,Greenwich,2015,96000,0.51
E09000012,Hackney,2015,136000,0.7
E09000013,Hammersmith and Fulham,2015,154000,1.16
E09000014,Haringey,2015,93000,0.49
E09000015,Harrow,2015,88000,0.55
E09000016,Havering,2015,93000,0.6
E09000017,Hillingdon,2015,202000,1.04
E09000018,Hounslow,2015,187000,1.04
E09000019,Islington,2015,250000,1.46
E09000020,Kensington and Chelsea,2015,150000,1.36
E09000021,Kingston upon Thames,2015,95000,0.82
E09000022,Lambeth,2015,185000,0.77
E09000023,Lewisham,2015,83000,0.4
E09000024,Merton,2015,98000,0.7
E09000025,Newham,2015,114000,0.48
E09000026,Redbridge,2015,92000,0.47
E09000027,Richmond upon Thames,2015,102000,0.82
E09000028,Southwark,2015,289000,1.28
E09000029,Sutton,2015,80000,0.62
E09000030,Tower Hamlets,2015,298000,1.37
E09000031,Waltham Forest,2015,86000,0.47
E09000032,Wandsworth,2015,144000,0.61
E09000033,Westminster,2015,756000,4.42
E12000001,North East,2015,1196000,0.72
E12000002,North West,2015,3603000,0.8
E12000003,Yorkshire and The Humber,2015,2694000,0.79
E12000004,East Midlands,2015,2304000,0.78
E12000005,West Midlands,2015,2818000,0.79
E12000006,East,2015,3053000,0.81
E12000007,London,2015,5810000,0.98
E12000008,South East,2015,4836000,0.87
E12000009,South West,2015,2904000,0.87
W92000004,Wales,2015,1433000,0.75
S92000003,Scotland,2015,2758000,0.79
N92000002,Northern Ireland,2015,861000,0.73
E92000001,England,2015,29219000,0.84
K04000001,England and Wales,2015,30651000,0.84
K03000001,Great Britain,2015,33409000,0.83
K02000001,United Kingdom,2015,34270000,0.83
E09000001,City of London,2016,586000,121.96
E09000002,Barking and Dagenham,2016,63000,0.48
E09000003,Barnet,2016,169000,0.68
E09000004,Bexley,2016,86000,0.56
E09000005,Brent,2016,148000,0.67
E09000006,Bromley,2016,134000,0.65
E09000007,Camden,2016,394000,2.23
E09000008,Croydon,2016,149000,0.6
E09000009,Ealing,2016,168000,0.73
E09000010,Enfield,2016,129000,0.6
E09000011,Greenwich,2016,96000,0.51
E09000012,Hackney,2016,143000,0.73
E09000013,Hammersmith and Fulham,2016,157000,1.2
E09000014,Haringey,2016,92000,0.48
E09000015,Harrow,2016,93000,0.58
E09000016,Havering,2016,100000,0.64
E09000017,Hillingdon,2016,204000,1.04
E09000018,Hounslow,2016,197000,1.1
E09000019,Islington,2016,251000,1.44
E09000020,Kensington and Chelsea,2016,153000,1.42
E09000021,Kingston upon Thames,2016,99000,0.86
E09000022,Lambeth,2016,175000,0.73
E09000023,Lewisham,2016,84000,0.4
E09000024,Merton,2016,94000,0.68
E09000025,Newham,2016,125000,0.52
E09000026,Redbridge,2016,94000,0.48
E09000027,Richmond upon Thames,2016,108000,0.87
E09000028,Southwark,2016,307000,1.34
E09000029,Sutton,2016,84000,0.65
E09000030,Tower Hamlets,2016,303000,1.37
E09000031,Waltham Forest,2016,86000,0.46
E09000032,Wandsworth,2016,146000,0.62
E09000033,Westminster,2016,765000,4.42
E12000001,North East,2016,1173000,0.71
E12000002,North West,2016,3726000,0.82
E12000003,Yorkshire and The Humber,2016,2735000,0.8
E12000004,East Midlands,2016,2398000,0.81
E12000005,West Midlands,2016,2882000,0.8
E12000006,East,2016,3163000,0.84
E12000007,London,2016,5982000,1
E12000008,South East,2016,4970000,0.89
E12000009,South West,2016,2943000,0.88
W92000004,Wales,2016,1472000,0.77
S92000003,Scotland,2016,2849000,0.82
N92000002,Northern Ireland,2016,882000,0.75
E92000001,England,2016,29972000,0.86
K04000001,England and Wales,2016,31445000,0.85
K03000001,Great Britain,2016,34293000,0.85
K02000001,United Kingdom,2016,35175000,0.85
E09000001,City of London,2017,626000,124.78
E09000002,Barking and Dagenham,2017,66000,0.49
E09000003,Barnet,2017,176000,0.7
E09000004,Bexley,2017,91000,0.59
E09000005,Brent,2017,157000,0.71
E09000006,Bromley,2017,134000,0.65
E09000007,Camden,2017,398000,2.23
E09000008,Croydon,2017,155000,0.63
E09000009,Ealing,2017,168000,0.74
E09000010,Enfield,2017,126000,0.59
E09000011,Greenwich,2017,102000,0.53
E09000012,Hackney,2017,139000,0.7
E09000013,Hammersmith and Fulham,2017,159000,1.21
E09000014,Haringey,2017,92000,0.49
E09000015,Harrow,2017,97000,0.61
E09000016,Havering,2017,103000,0.65
E09000017,Hillingdon,2017,216000,1.1
E09000018,Hounslow,2017,186000,1.04
E09000019,Islington,2017,247000,1.4
E09000020,Kensington and Chelsea,2017,166000,1.56
E09000021,Kingston upon Thames,2017,100000,0.86
E09000022,Lambeth,2017,188000,0.78
E09000023,Lewisham,2017,88000,0.42
E09000024,Merton,2017,104000,0.76
E09000025,Newham,2017,125000,0.51
E09000026,Redbridge,2017,97000,0.5
E09000027,Richmond upon Thames,2017,106000,0.85
E09000028,Southwark,2017,317000,1.38
E09000029,Sutton,2017,85000,0.66
E09000030,Tower Hamlets,2017,317000,1.4
E09000031,Waltham Forest,2017,88000,0.47
E09000032,Wandsworth,2017,151000,0.64
E09000033,Westminster,2017,754000,4.33
E12000001,North East,2017,1208000,0.73
E12000002,North West,2017,3778000,0.83
E12000003,Yorkshire and The Humber,2017,2759000,0.81
E12000004,East Midlands,2017,2389000,0.8
E12000005,West Midlands,2017,2990000,0.82
E12000006,East,2017,3218000,0.85
E12000007,London,2017,6125000,1.03
E12000008,South East,2017,4897000,0.87
E12000009,South West,2017,2993000,0.89
W92000004,Wales,2017,1464000,0.76
S92000003,Scotland,2017,2833000,0.81
N92000002,Northern Ireland,2017,891000,0.76
E92000001,England,2017,30359000,0.87
K04000001,England and Wales,2017,31823000,0.86
K03000001,Great Britain,2017,34656000,0.86
K02000001,United Kingdom,2017,35547000,0.86
E09000001,City of London,2018,640000,110.11
E09000002,Barking and Dagenham,2018,66000,0.49
E09000003,Barnet,2018,170000,0.67
E09000004,Bexley,2018,87000,0.56
E09000005,Brent,2018,157000,0.71
E09000006,Bromley,2018,127000,0.62
E09000007,Camden,2018,403000,2.17
E09000008,Croydon,2018,149000,0.6
E09000009,Ealing,2018,148000,0.66
E09000010,Enfield,2018,133000,0.62
E09000011,Greenwich,2018,106000,0.55
E09000012,Hackney,2018,152000,0.76
E09000013,Hammersmith and Fulham,2018,155000,1.18
E09000014,Haringey,2018,91000,0.48
E09000015,Harrow,2018,91000,0.57
E09000016,Havering,2018,108000,0.68
E09000017,Hillingdon,2018,209000,1.06
E09000018,Hounslow,2018,178000,1
E09000019,Islington,2018,255000,1.42
E09000020,Kensington and Chelsea,2018,164000,1.55
E09000021,Kingston upon Thames,2018,96000,0.83
E09000022,Lambeth,2018,180000,0.75
E09000023,Lewisham,2018,84000,0.4
E09000024,Merton,2018,108000,0.79
E09000025,Newham,2018,139000,0.56
E09000026,Redbridge,2018,92000,0.47
E09000027,Richmond upon Thames,2018,111000,0.89
E09000028,Southwark,2018,329000,1.42
E09000029,Sutton,2018,78000,0.6
E09000030,Tower Hamlets,2018,333000,1.43
E09000031,Waltham Forest,2018,88000,0.47
E09000032,Wandsworth,2018,147000,0.62
E09000033,Westminster,2018,775000,4.28
E12000001,North East,2018,1206000,0.73
E12000002,North West,2018,3814000,0.84
E12000003,Yorkshire and The Humber,2018,2773000,0.81
E12000004,East Midlands,2018,2387000,0.8
E12000005,West Midlands,2018,2960000,0.81
E12000006,East,2018,3257000,0.86
E12000007,London,2018,6148000,1.02
E12000008,South East,2018,4937000,0.88
E12000009,South West,2018,3011000,0.89
W92000004,Wales,2018,1496000,0.78
S92000003,Scotland,2018,2861000,0.82
N92000002,Northern Ireland,2018,900000,0.76
E92000001,England,2018,30493000,0.87
K04000001,England and Wales,2018,31989000,0.87
K03000001,Great Britain,2018,34850000,0.86
K02000001,United Kingdom,2018,35750000,0.86
E09000001,City of London,2019,674000,102.32
E09000002,Barking and Dagenham,2019,67000,0.5
E09000003,Barnet,2019,166000,0.66
E09000004,Bexley,2019,91000,0.59
E09000005,Brent,2019,155000,0.71
E09000006,Bromley,2019,133000,0.64
E09000007,Camden,2019,402000,2.11
E09000008,Croydon,2019,144000,0.58
E09000009,Ealing,2019,158000,0.71
E09000010,Enfield,2019,135000,0.63
E09000011,Greenwich,2019,107000,0.55
E09000012,Hackney,2019,156000,0.77
E09000013,Hammersmith and Fulham,2019,159000,1.22
E09000014,Haringey,2019,89000,0.48
E09000015,Harrow,2019,90000,0.57
E09000016,Havering,2019,98000,0.61
E09000017,Hillingdon,2019,206000,1.04
E09000018,Hounslow,2019,185000,1.04
E09000019,Islington,2019,263000,1.44
E09000020,Kensington and Chelsea,2019,161000,1.54
E09000021,Kingston upon Thames,2019,91000,0.78
E09000022,Lambeth,2019,184000,0.76
E09000023,Lewisham,2019,86000,0.4
E09000024,Merton,2019,100000,0.73
E09000025,Newham,2019,130000,0.53
E09000026,Redbridge,2019,96000,0.49
E09000027,Richmond upon Thames,2019,103000,0.82
E09000028,Southwark,2019,320000,1.38
E09000029,Sutton,2019,84000,0.64
E09000030,Tower Hamlets,2019,342000,1.43
E09000031,Waltham Forest,2019,92000,0.49
E09000032,Wandsworth,2019,153000,0.64
E09000033,Westminster,2019,803000,4.35
E12000001,North East,2019,1224000,0.74
E12000002,North West,2019,3909000,0.86
E12000003,Yorkshire and The Humber,2019,2785000,0.81
E12000004,East Midlands,2019,2437000,0.81
E12000005,West Midlands,2019,3008000,0.82
E12000006,East,2019,3268000,0.86
E12000007,London,2019,6224000,1.03
E12000008,South East,2019,5068000,0.9
E12000009,South West,2019,3077000,0.91
W92000004,Wales,2019,1491000,0.77
S92000003,Scotland,2019,2866000,0.82
N92000002,Northern Ireland,2019,934000,0.79
E92000001,England,2019,30999000,0.88
K04000001,England and Wales,2019,32490000,0.88
K03000001,Great Britain,2019,35356000,0.87
K02000001,United Kingdom,2019,36290000,0.87
